,negative,positive,total
slog,27.0,1.0,28.0
slogan,0.0,1.0,1.0
slogic,0.0,1.0,1.0
sloooooooooow,1.0,0.0,1.0
slooooooooow,1.0,0.0,1.0
sloooow,1.0,0.0,1.0
sloooowwww,1.0,0.0,1.0
slooow,1.0,0.0,1.0
slooowww,1.0,0.0,1.0
slop,2.0,2.0,4.0
slope,4.0,1.0,5.0
sloppi,50.0,10.0,60.0
sloppier,0.0,1.0,1.0
sloppili,3.0,1.0,4.0
sloshi,1.0,0.0,1.0
slot,3.0,0.0,3.0
sloth,0.0,1.0,1.0
slouch,1.0,3.0,4.0
slovenian,0.0,1.0,1.0
slow,632.0,324.0,956.0
slowburn,0.0,1.0,1.0
slowcor,0.0,1.0,1.0
slowdiv,0.0,3.0,3.0
slower,31.0,41.0,72.0
slowest,13.0,3.0,16.0
slowili,0.0,1.0,1.0
slowli,81.0,69.0,150.0
slowpac,0.0,1.0,1.0
sloww,1.0,0.0,1.0
slowwwww,2.0,0.0,2.0
slowwwwwwww,1.0,0.0,1.0
slowwwwwwwwwwzzzzzzzz,1.0,0.0,1.0
slp,1.0,0.0,1.0
slpeey,0.0,1.0,1.0
slr,0.0,2.0,2.0
sludg,2.0,0.0,2.0
sludgi,1.0,0.0,1.0
slug,2.0,2.0,4.0
sluggish,10.0,3.0,13.0
sluggishveri,0.0,1.0,1.0
sluggo,0.0,1.0,1.0
slum,6.0,0.0,6.0
slumberland,1.0,0.0,1.0
slump,0.0,1.0,1.0
slur,4.0,0.0,4.0
slurg,0.0,1.0,1.0
slurp,3.0,0.0,3.0
slushi,2.0,0.0,2.0
slut,2.0,1.0,3.0
slutti,2.0,1.0,3.0
slwaless,0.0,1.0,1.0
slytherin,0.0,2.0,2.0
sm,1.0,0.0,1.0
smack,8.0,8.0,16.0
smackdown,2.0,1.0,3.0
smagnanim,0.0,1.0,1.0
small,821.0,848.0,1669.0
smalland,1.0,0.0,1.0
smallchildren,0.0,1.0,1.0
smaller,134.0,147.0,281.0
smallest,18.0,16.0,34.0
smallish,3.0,4.0,7.0
smallmouth,1.0,0.0,1.0
smallvill,2.0,4.0,6.0
smaltzi,1.0,0.0,1.0
smarmi,3.0,0.0,3.0
smart,100.0,135.0,235.0
smarter,12.0,11.0,23.0
smarterchild,3.0,0.0,3.0
smartest,3.0,4.0,7.0
smarthom,1.0,0.0,1.0
smarti,1.0,1.0,2.0
smartsol,0.0,1.0,1.0
smash,36.0,11.0,47.0
smasher,0.0,1.0,1.0
smashmouth,1.0,1.0,2.0
smatter,1.0,1.0,2.0
smaug,2.0,1.0,3.0
smayb,1.0,0.0,1.0
smazon,1.0,0.0,1.0
smc,2.0,0.0,2.0
smear,8.0,2.0,10.0
smedia,0.0,1.0,1.0
smeg,0.0,1.0,1.0
smell,138.0,101.0,239.0
smelli,10.0,6.0,16.0
smelt,2.0,0.0,2.0
smetana,1.0,0.0,1.0
smh,2.0,0.0,2.0
smi,1.0,0.0,1.0
smidg,0.0,1.0,1.0
smile,25.0,65.0,90.0
smiley,0.0,1.0,1.0
smili,2.0,0.0,2.0
smirk,2.0,0.0,2.0
smith,26.0,55.0,81.0
smithaven,1.0,0.0,1.0
smithsonian,0.0,2.0,2.0
smitten,4.0,1.0,5.0
smittybilt,1.0,0.0,1.0
smk,2.0,0.0,2.0
smoke,48.0,22.0,70.0
smoker,0.0,1.0,1.0
smokescreen,1.0,0.0,1.0
smokey,2.0,6.0,8.0
smoki,0.0,2.0,2.0
smokin,2.0,4.0,6.0
smokingscream,0.0,1.0,1.0
smolder,1.0,3.0,4.0
smollet,0.0,1.0,1.0
smooch,0.0,1.0,1.0
smoochi,0.0,3.0,3.0
smoooth,1.0,0.0,1.0
smoosh,0.0,1.0,1.0
smoot,1.0,0.0,1.0
smooth,90.0,226.0,316.0
smoother,5.0,9.0,14.0
smoothest,1.0,2.0,3.0
smoothi,4.0,3.0,7.0
smother,3.0,2.0,5.0
smple,0.0,1.0,1.0
smudg,4.0,1.0,5.0
smudgi,1.0,0.0,1.0
smug,7.0,1.0,8.0
smuggel,0.0,1.0,1.0
smuggl,2.0,4.0,6.0
smurf,1.0,0.0,1.0
smush,3.0,0.0,3.0
smut,3.0,0.0,3.0
smutti,1.0,0.0,1.0
smyrna,0.0,1.0,1.0
smyth,0.0,1.0,1.0
snack,4.0,3.0,7.0
snag,2.0,8.0,10.0
snagless,1.0,1.0,2.0
snail,5.0,2.0,7.0
snake,9.0,6.0,15.0
snakebit,0.0,1.0,1.0
snall,1.0,0.0,1.0
snap,100.0,39.0,139.0
snappi,5.0,10.0,15.0
snappiest,0.0,1.0,1.0
snappish,0.0,1.0,1.0
snapshot,0.0,2.0,2.0
snare,1.0,1.0,2.0
snark,1.0,0.0,1.0
snarki,3.0,0.0,3.0
snarl,2.0,1.0,3.0
snatch,2.0,6.0,8.0
snatcher,0.0,1.0,1.0
sneak,7.0,9.0,16.0
sneaki,7.0,5.0,12.0
snear,1.0,0.0,1.0
sneek,1.0,0.0,1.0
sneeki,1.0,0.0,1.0
sneer,3.0,2.0,5.0
sneez,1.0,2.0,3.0
snell,3.0,1.0,4.0
snellen,0.0,1.0,1.0
snetenc,0.0,1.0,1.0
snif,2.0,1.0,3.0
sniff,2.0,3.0,5.0
sniffl,0.0,1.0,1.0
snigger,1.0,0.0,1.0
snip,0.0,3.0,3.0
snipe,1.0,3.0,4.0
sniper,7.0,2.0,9.0
snippi,1.0,0.0,1.0
snitch,1.0,0.0,1.0
snivel,8.0,2.0,10.0
snl,1.0,5.0,6.0
sno,1.0,0.0,1.0
snob,1.0,1.0,2.0
snobberish,1.0,0.0,1.0
snobbi,2.0,0.0,2.0
snobbish,1.0,0.0,1.0
snobish,0.0,1.0,1.0
snog,0.0,1.0,1.0
snook,0.0,1.0,1.0
snoop,8.0,3.0,11.0
snoopi,0.0,1.0,1.0
snooti,3.0,1.0,4.0
snootiest,0.0,1.0,1.0
snooz,6.0,4.0,10.0
snoozeathon,1.0,0.0,1.0
snoozefest,3.0,0.0,3.0
snoozer,6.0,1.0,7.0
snope,0.0,2.0,2.0
snore,9.0,4.0,13.0
snoredard,1.0,0.0,1.0
snorkel,2.0,2.0,4.0
snorr,3.0,0.0,3.0
snorrrrrrrr,1.0,0.0,1.0
snort,4.0,1.0,5.0
snot,1.0,1.0,2.0
snotnos,1.0,0.0,1.0
snotti,5.0,1.0,6.0
snow,38.0,36.0,74.0
snowbal,1.0,1.0,2.0
snowbel,0.0,2.0,2.0
snowblow,0.0,1.0,1.0
snowboard,2.0,4.0,6.0
snowden,1.0,0.0,1.0
snowflak,2.0,0.0,2.0
snowglad,0.0,1.0,1.0
snowi,2.0,3.0,5.0
snowiest,0.0,1.0,1.0
snowman,1.0,2.0,3.0
snowplow,1.0,0.0,1.0
snowsho,1.0,0.0,1.0
snowstorm,1.0,2.0,3.0
snub,1.0,4.0,5.0
snuf,1.0,0.0,1.0
snuff,4.0,2.0,6.0
snuffi,2.0,0.0,2.0
snug,18.0,16.0,34.0
snugg,1.0,4.0,5.0
snuggl,1.0,8.0,9.0
so,7712.0,6720.0,14432.0
soak,39.0,21.0,60.0
soalm,1.0,0.0,1.0
soam,1.0,0.0,1.0
soap,11.0,5.0,16.0
soapathet,1.0,0.0,1.0
soapi,1.0,5.0,6.0
soar,6.0,18.0,24.0
sob,3.0,3.0,6.0
sobbin,0.0,1.0,1.0
sobel,1.0,0.0,1.0
sober,8.0,10.0,18.0
sobol,0.0,1.0,1.0
sobr,1.0,1.0,2.0
sobran,1.0,0.0,1.0
soc,2.0,0.0,2.0
socal,2.0,1.0,3.0
socall,1.0,0.0,1.0
soccer,0.0,2.0,2.0
social,103.0,125.0,228.0
socialist,9.0,3.0,12.0
socialit,1.0,1.0,2.0
societ,2.0,2.0,4.0
societi,4.0,3.0,7.0
socio,3.0,2.0,5.0
sociobiolog,1.0,0.0,1.0
sociolinguist,0.0,1.0,1.0
sociolog,5.0,5.0,10.0
sociologist,0.0,1.0,1.0
sociopath,1.0,0.0,1.0
sociopolit,1.0,0.0,1.0
sock,5.0,1.0,6.0
socrat,2.0,1.0,3.0
sod,0.0,1.0,1.0
soda,3.0,0.0,3.0
sodapop,1.0,1.0,2.0
soderbergh,1.0,0.0,1.0
sodium,2.0,0.0,2.0
soe,0.0,1.0,1.0
soem,1.0,0.0,1.0
soemth,0.0,1.0,1.0
sofa,4.0,0.0,4.0
sofad,2.0,0.0,2.0
soffoc,1.0,0.0,1.0
sofor,0.0,1.0,1.0
soft,184.0,237.0,421.0
softar,1.0,0.0,1.0
softbal,3.0,1.0,4.0
softcor,1.0,0.0,1.0
softcov,1.0,0.0,1.0
softcup,1.0,0.0,1.0
soften,9.0,5.0,14.0
softer,17.0,35.0,52.0
softest,0.0,6.0,6.0
softgel,1.0,0.0,1.0
softi,0.0,1.0,1.0
softrock,0.0,1.0,1.0
softwalk,0.0,1.0,1.0
softwareid,0.0,1.0,1.0
soggi,1.0,4.0,5.0
sogo,0.0,1.0,1.0
soh,0.0,1.0,1.0
sohma,1.0,0.0,1.0
soho,0.0,1.0,1.0
soico,0.0,1.0,1.0
soid,0.0,1.0,1.0
soil,8.0,1.0,9.0
soili,0.0,1.0,1.0
soilwork,1.0,2.0,3.0
soit,0.0,1.0,1.0
sokolowski,0.0,2.0,2.0
sol,3.0,0.0,3.0
sola,0.0,1.0,1.0
solament,0.0,1.0,1.0
solang,0.0,1.0,1.0
solar,12.0,2.0,14.0
sold,229.0,94.0,323.0
solder,8.0,9.0,17.0
solderless,0.0,1.0,1.0
soldier,8.0,11.0,19.0
sole,53.0,28.0,81.0
solemn,0.0,3.0,3.0
solenoid,1.0,0.0,1.0
soley,1.0,1.0,2.0
soli,1.0,0.0,1.0
solicit,2.0,1.0,3.0
solid,126.0,352.0,478.0
solidand,0.0,1.0,1.0
solidarnosc,0.0,1.0,1.0
solidifi,4.0,5.0,9.0
solier,1.0,0.0,1.0
solista,1.0,0.0,1.0
solitair,1.0,0.0,1.0
solitari,0.0,7.0,7.0
solllid,0.0,1.0,1.0
solo,38.0,42.0,80.0
solofil,1.0,0.0,1.0
solomon,2.0,5.0,7.0
solondz,1.0,0.0,1.0
solow,1.0,1.0,2.0
solti,1.0,0.0,1.0
solubil,0.0,1.0,1.0
solubl,1.0,1.0,2.0
solv,74.0,109.0,183.0
solvent,1.0,0.0,1.0
som,1.0,1.0,2.0
somani,0.0,1.0,1.0
somat,0.0,1.0,1.0
somber,4.0,6.0,10.0
sombr,0.0,3.0,3.0
somebodi,5.0,2.0,7.0
someday,24.0,20.0,44.0
someh,0.0,1.0,1.0
somehow,103.0,59.0,162.0
somehwat,1.0,0.0,1.0
somehwer,1.0,0.0,1.0
someon,0.0,2.0,2.0
someonehad,1.0,0.0,1.0
someonewho,1.0,0.0,1.0
someoon,1.0,0.0,1.0
somer,1.0,0.0,1.0
somerauc,1.0,0.0,1.0
somerset,0.0,1.0,1.0
somet,5.0,1.0,6.0
someth,0.0,1.0,1.0
somethig,0.0,1.0,1.0
somethim,1.0,0.0,1.0
somethin,6.0,1.0,7.0
somethingcommon,0.0,1.0,1.0
somethingto,1.0,0.0,1.0
somethng,0.0,1.0,1.0
sometim,324.0,427.0,751.0
somewar,0.0,1.0,1.0
someway,0.0,1.0,1.0
somewhat,236.0,208.0,444.0
somewhatimprov,0.0,1.0,1.0
somewher,154.0,75.0,229.0
somth,8.0,6.0,14.0
somuch,0.0,1.0,1.0
somwher,0.0,1.0,1.0
son,5.0,15.0,20.0
sonata,0.0,2.0,2.0
sonchai,0.0,2.0,2.0
sondheim,3.0,2.0,5.0
song,95.0,161.0,256.0
songbird,0.0,1.0,1.0
songgood,1.0,0.0,1.0
songshomecom,1.0,0.0,1.0
songtoucan,1.0,0.0,1.0
songtress,0.0,1.0,1.0
songwrit,16.0,29.0,45.0
songz,2.0,0.0,2.0
soni,55.0,17.0,72.0
sonia,1.0,0.0,1.0
sonic,18.0,35.0,53.0
sonicar,1.0,0.0,1.0
sonicblu,1.0,0.0,1.0
sonido,1.0,0.0,1.0
sonn,1.0,0.0,1.0
sonnerfield,0.0,1.0,1.0
sonnet,1.0,0.0,1.0
sonni,2.0,9.0,11.0
sonor,0.0,1.0,1.0
sonora,0.0,1.0,1.0
sonsonet,1.0,0.0,1.0
sont,1.0,1.0,2.0
sonya,0.0,1.0,1.0
soo,19.0,7.0,26.0
soom,0.0,1.0,1.0
soometh,1.0,0.0,1.0
soon,305.0,355.0,660.0
sooner,15.0,37.0,52.0
soonest,0.0,1.0,1.0
soonfind,0.0,1.0,1.0
soonth,1.0,0.0,1.0
sooo,23.0,34.0,57.0
soooo,31.0,17.0,48.0
sooooo,21.0,9.0,30.0
soooooo,3.0,6.0,9.0
sooooooo,4.0,2.0,6.0
soooooooo,6.0,1.0,7.0
soooooooooo,3.0,2.0,5.0
sooooooooooo,2.0,0.0,2.0
soooooooooooo,0.0,1.0,1.0
sooooooooooooo,1.0,0.0,1.0
sooooooooooooooo,1.0,0.0,1.0
soooooooooooooooo,0.0,1.0,1.0
sooooooooooooooooooo,1.0,0.0,1.0
soooooooooooooooooooo,1.0,0.0,1.0
sooooooooooooooooooooooooooooo,1.0,0.0,1.0
soooooscar,1.0,0.0,1.0
soopid,1.0,0.0,1.0
sooth,11.0,88.0,99.0
sophi,2.0,3.0,5.0
sophia,3.0,2.0,5.0
sophic,0.0,1.0,1.0
sophist,23.0,31.0,54.0
sophistiac,0.0,1.0,1.0
sophistoc,1.0,0.0,1.0
sophmor,3.0,3.0,6.0
sophocl,0.0,1.0,1.0
sophomor,26.0,7.0,33.0
sopji,1.0,0.0,1.0
soporif,1.0,0.0,1.0
soposto,1.0,0.0,1.0
soppi,3.0,1.0,4.0
soppos,1.0,1.0,2.0
soprano,2.0,1.0,3.0
sorcer,3.0,1.0,4.0
sorceress,0.0,1.0,1.0
sorceri,0.0,1.0,1.0
sorda,1.0,0.0,1.0
sordid,3.0,0.0,3.0
sore,56.0,24.0,80.0
sorid,1.0,0.0,1.0
sorrel,1.0,0.0,1.0
sorri,280.0,99.0,379.0
sorriest,2.0,0.0,2.0
sorround,0.0,2.0,2.0
sorrow,2.0,9.0,11.0
sorrrrri,1.0,0.0,1.0
sort,25.0,16.0,41.0
sorta,6.0,10.0,16.0
sorter,1.0,0.0,1.0
sorterfor,0.0,1.0,1.0
sortof,1.0,0.0,1.0
sortsradio,0.0,1.0,1.0
sortta,1.0,0.0,1.0
sosa,0.0,2.0,2.0
soso,1.0,0.0,1.0
sosphist,0.0,1.0,1.0
sossamon,1.0,0.0,1.0
sosund,0.0,1.0,1.0
soth,3.0,0.0,3.0
sotl,1.0,1.0,2.0
sou,0.0,1.0,1.0
souci,0.0,2.0,2.0
soud,0.0,2.0,2.0
souffl,0.0,1.0,1.0
souful,0.0,1.0,1.0
sought,9.0,7.0,16.0
soukous,0.0,1.0,1.0
soukup,0.0,1.0,1.0
soul,21.0,84.0,105.0
soulbait,0.0,1.0,1.0
sould,5.0,3.0,8.0
soulfli,0.0,1.0,1.0
soulfoul,0.0,1.0,1.0
souli,0.0,1.0,1.0
soulless,5.0,2.0,7.0
soultress,0.0,1.0,1.0
soun,1.0,1.0,2.0
sound,1128.0,805.0,1933.0
soundblast,1.0,0.0,1.0
soundclick,1.0,0.0,1.0
soundfactori,1.0,0.0,1.0
soundgarden,3.0,10.0,13.0
soundscan,1.0,0.0,1.0
soundssimilar,0.0,1.0,1.0
soundtrack,10.0,21.0,31.0
soup,3.0,10.0,13.0
soupi,1.0,2.0,3.0
sour,24.0,13.0,37.0
sourc,9.0,1.0,10.0
sourcesa,0.0,1.0,1.0
sourcetext,1.0,0.0,1.0
sourdough,0.0,2.0,2.0
sourround,0.0,1.0,1.0
sous,0.0,1.0,1.0
south,56.0,89.0,145.0
southamerican,1.0,0.0,1.0
southeast,2.0,2.0,4.0
southeastern,4.0,0.0,4.0
southeatern,0.0,1.0,1.0
souther,0.0,1.0,1.0
southern,36.0,84.0,120.0
southerngirrl,0.0,1.0,1.0
southernplayalist,0.0,2.0,2.0
southi,1.0,0.0,1.0
southpark,0.0,1.0,1.0
southsid,0.0,2.0,2.0
southwest,4.0,4.0,8.0
southwestern,1.0,1.0,2.0
souvenir,0.0,2.0,2.0
souza,1.0,0.0,1.0
sovereign,1.0,0.0,1.0
soverestim,1.0,0.0,1.0
soveriegn,0.0,1.0,1.0
soviet,14.0,26.0,40.0
sow,1.0,1.0,2.0
sowel,0.0,1.0,1.0
sowieso,1.0,0.0,1.0
sown,0.0,2.0,2.0
sowrd,1.0,0.0,1.0
sox,2.0,4.0,6.0
soy,3.0,5.0,8.0
soya,0.0,1.0,1.0
sp,1.0,0.0,1.0
spa,1.0,1.0,2.0
space,18.0,8.0,26.0
spacek,1.0,1.0,2.0
spacemus,0.0,1.0,1.0
spaceshuttl,1.0,0.0,1.0
spacey,1.0,3.0,4.0
spaci,0.0,1.0,1.0
spacial,1.0,0.0,1.0
spacif,1.0,0.0,1.0
spacious,0.0,2.0,2.0
spaciousand,1.0,0.0,1.0
spactacular,0.0,1.0,1.0
spade,2.0,3.0,5.0
spader,0.0,2.0,2.0
spagetti,1.0,0.0,1.0
spaghetti,1.0,1.0,2.0
spain,5.0,5.0,10.0
spalsh,1.0,0.0,1.0
spam,5.0,2.0,7.0
span,12.0,17.0,29.0
spandau,2.0,1.0,3.0
spangl,3.0,0.0,3.0
spanglish,2.0,2.0,4.0
spanhish,0.0,1.0,1.0
spaniish,0.0,1.0,1.0
spanish,94.0,119.0,213.0
spank,4.0,3.0,7.0
spanki,1.0,0.0,1.0
spansthi,0.0,1.0,1.0
spar,4.0,1.0,5.0
sparad,1.0,0.0,1.0
sparco,1.0,0.0,1.0
spare,70.0,51.0,121.0
spark,14.0,18.0,32.0
sparkal,1.0,0.0,1.0
sparki,0.0,1.0,1.0
sparkl,5.0,12.0,17.0
sparkll,0.0,1.0,1.0
sparkplug,1.0,0.0,1.0
sparrow,1.0,3.0,4.0
spars,8.0,8.0,16.0
sparser,0.0,1.0,1.0
spartacus,0.0,1.0,1.0
spash,1.0,0.0,1.0
spasm,0.0,1.0,1.0
spasmod,1.0,0.0,1.0
spastic,0.0,2.0,2.0
spat,1.0,0.0,1.0
spatula,1.0,2.0,3.0
spawn,6.0,9.0,15.0
spay,4.0,1.0,5.0
spaz,1.0,0.0,1.0
spazoid,1.0,0.0,1.0
spc,0.0,1.0,1.0
spd,0.0,1.0,1.0
speach,1.0,0.0,1.0
speachless,0.0,1.0,1.0
speak,193.0,168.0,361.0
speaker,0.0,2.0,2.0
speakon,0.0,1.0,1.0
spear,9.0,5.0,14.0
spec,9.0,3.0,12.0
specailli,1.0,0.0,1.0
specatular,0.0,1.0,1.0
speci,0.0,2.0,2.0
special,465.0,526.0,991.0
specialest,0.0,2.0,2.0
speciali,0.0,1.0,1.0
specialis,0.0,2.0,2.0
specialti,1.0,0.0,1.0
specif,169.0,107.0,276.0
specifc,2.0,1.0,3.0
specifi,26.0,12.0,38.0
specious,3.0,1.0,4.0
speckl,1.0,0.0,1.0
spectactular,0.0,1.0,1.0
spectacular,25.0,76.0,101.0
spectaculor,0.0,1.0,1.0
spectec,0.0,1.0,1.0
spectr,0.0,2.0,2.0
spectral,1.0,0.0,1.0
spectrum,1.0,0.0,1.0
spectular,0.0,2.0,2.0
specul,8.0,16.0,24.0
sped,1.0,2.0,3.0
speddi,0.0,1.0,1.0
speech,17.0,4.0,21.0
speechifi,1.0,0.0,1.0
speechless,2.0,5.0,7.0
speed,31.0,22.0,53.0
speedfreaki,0.0,1.0,1.0
speedi,0.0,3.0,3.0
speedlight,0.0,1.0,1.0
speedo,0.0,1.0,1.0
speedstream,1.0,0.0,1.0
speedway,1.0,1.0,2.0
speek,0.0,1.0,1.0
speer,0.0,1.0,1.0
speilberg,2.0,0.0,2.0
speilbergian,0.0,1.0,1.0
spell,62.0,44.0,106.0
spellbind,0.0,15.0,15.0
spellbound,1.0,2.0,3.0
spellcheck,1.0,0.0,1.0
spelt,0.0,1.0,1.0
spelunk,1.0,0.0,1.0
spencer,2.0,0.0,2.0
spend,523.0,171.0,694.0
spendi,1.0,1.0,2.0
spendid,0.0,1.0,1.0
spendthrift,1.0,1.0,2.0
spenser,3.0,2.0,5.0
spenserian,1.0,0.0,1.0
spent,399.0,123.0,522.0
sperm,0.0,1.0,1.0
spetacular,0.0,1.0,1.0
spew,13.0,1.0,14.0
spf,1.0,1.0,2.0
sphere,4.0,1.0,5.0
spheric,3.0,0.0,3.0
spi,19.0,19.0,38.0
spice,23.0,22.0,45.0
spici,1.0,1.0,2.0
spicier,0.0,4.0,4.0
spider,5.0,6.0,11.0
spiderman,8.0,13.0,21.0
spiderweb,1.0,1.0,2.0
spidey,0.0,4.0,4.0
spiel,0.0,1.0,1.0
spielberg,6.0,4.0,10.0
spielburg,0.0,1.0,1.0
spif,0.0,1.0,1.0
spiffi,0.0,1.0,1.0
spike,3.0,3.0,6.0
spikey,0.0,1.0,1.0
spiki,1.0,0.0,1.0
spikier,1.0,0.0,1.0
spile,0.0,1.0,1.0
spill,39.0,27.0,66.0
spillan,1.0,0.0,1.0
spilt,2.0,0.0,2.0
spin,70.0,52.0,122.0
spinach,2.0,0.0,2.0
spinal,4.0,3.0,7.0
spindel,1.0,0.0,1.0
spindl,2.0,1.0,3.0
spine,10.0,3.0,13.0
spineless,2.0,1.0,3.0
spineshank,1.0,0.0,1.0
spingbeak,1.0,0.0,1.0
spinner,0.0,1.0,1.0
spinnin,1.0,0.0,1.0
spiral,14.0,5.0,19.0
spiralboud,0.0,1.0,1.0
spirit,32.0,24.0,56.0
spiritu,47.0,136.0,183.0
spirituallyuplift,0.0,1.0,1.0
spirt,0.0,1.0,1.0
spirtual,1.0,2.0,3.0
spit,22.0,21.0,43.0
spite,2.0,2.0,4.0
spitfir,1.0,2.0,3.0
spittin,0.0,1.0,1.0
spitzer,0.0,1.0,1.0
splang,0.0,1.0,1.0
splash,3.0,4.0,7.0
splatter,7.0,3.0,10.0
splay,1.0,0.0,1.0
spledid,0.0,1.0,1.0
spleen,0.0,1.0,1.0
splenda,0.0,3.0,3.0
splendid,3.0,32.0,35.0
splendor,2.0,0.0,2.0
splice,3.0,2.0,5.0
splinter,6.0,0.0,6.0
split,49.0,30.0,79.0
splitter,0.0,2.0,2.0
splurg,2.0,2.0,4.0
splurt,0.0,1.0,1.0
spm,0.0,1.0,1.0
spock,0.0,3.0,3.0
spoil,81.0,58.0,139.0
spoiler,8.0,5.0,13.0
spoilt,3.0,1.0,4.0
spoke,29.0,22.0,51.0
spoken,26.0,29.0,55.0
spokespeopl,0.0,1.0,1.0
spole,1.0,0.0,1.0
spong,2.0,1.0,3.0
spongebob,2.0,5.0,7.0
spongi,1.0,1.0,2.0
sponsor,4.0,2.0,6.0
spontan,8.0,8.0,16.0
spontani,1.0,2.0,3.0
spontant,1.0,0.0,1.0
spoof,6.0,4.0,10.0
spook,3.0,3.0,6.0
spooki,9.0,18.0,27.0
spool,1.0,0.0,1.0
spoon,4.0,3.0,7.0
sporad,14.0,1.0,15.0
sporat,2.0,0.0,2.0
sport,10.0,11.0,21.0
sporti,1.0,2.0,3.0
sportscasterswil,0.0,1.0,1.0
sportsman,1.0,0.0,1.0
spose,1.0,0.0,1.0
spot,26.0,40.0,66.0
spotless,1.0,0.0,1.0
spotlight,3.0,2.0,5.0
spoton,0.0,1.0,1.0
spotsylvania,0.0,1.0,1.0
spotti,7.0,6.0,13.0
spottieottiedopalici,0.0,1.0,1.0
spous,0.0,1.0,1.0
spouseof,1.0,0.0,1.0
spout,5.0,2.0,7.0
spr,0.0,1.0,1.0
sprain,1.0,1.0,2.0
sprake,1.0,0.0,1.0
sprall,0.0,1.0,1.0
sprang,0.0,1.0,1.0
sprawl,2.0,5.0,7.0
spray,55.0,24.0,79.0
spread,41.0,27.0,68.0
spree,1.0,1.0,2.0
spright,1.0,0.0,1.0
spring,8.0,5.0,13.0
springboard,0.0,2.0,2.0
springfi,0.0,1.0,1.0
springfield,0.0,2.0,2.0
springier,0.0,1.0,1.0
springsteen,4.0,5.0,9.0
sprink,1.0,0.0,1.0
sprinkl,11.0,10.0,21.0
sprinkler,1.0,0.0,1.0
sprint,0.0,1.0,1.0
sprirtual,0.0,1.0,1.0
sprite,1.0,0.0,1.0
spritual,0.0,3.0,3.0
spritz,0.0,2.0,2.0
sprout,5.0,2.0,7.0
sproutpeopl,0.0,1.0,1.0
spruce,0.0,3.0,3.0
sprung,2.0,0.0,2.0
spud,2.0,1.0,3.0
spudhead,0.0,1.0,1.0
spun,5.0,3.0,8.0
spunk,0.0,2.0,2.0
spunki,0.0,5.0,5.0
spunten,0.0,1.0,1.0
spur,1.0,5.0,6.0
spurious,3.0,0.0,3.0
spurn,1.0,0.0,1.0
spurt,3.0,1.0,4.0
sputter,1.0,1.0,2.0
spywar,0.0,1.0,1.0
sq,2.0,1.0,3.0
sqander,1.0,0.0,1.0
sqaur,0.0,1.0,1.0
sqeaki,1.0,0.0,1.0
sqeamish,0.0,1.0,1.0
sqeel,1.0,0.0,1.0
sqeez,1.0,0.0,1.0
sqft,0.0,1.0,1.0
sql,5.0,6.0,11.0
sqlj,0.0,1.0,1.0
squabbl,0.0,1.0,1.0
squad,1.0,3.0,4.0
squadron,0.0,2.0,2.0
squall,2.0,0.0,2.0
squander,5.0,0.0,5.0
squanto,0.0,1.0,1.0
squar,43.0,26.0,69.0
squaresoft,0.0,3.0,3.0
squarest,1.0,0.0,1.0
squash,8.0,4.0,12.0
squat,2.0,2.0,4.0
squattest,1.0,0.0,1.0
squawk,0.0,1.0,1.0
squeak,12.0,4.0,16.0
squeaki,8.0,7.0,15.0
squeal,0.0,1.0,1.0
squeall,1.0,0.0,1.0
squeamish,3.0,4.0,7.0
squeege,0.0,2.0,2.0
squeek,2.0,0.0,2.0
squeeki,0.0,1.0,1.0
squeem,2.0,1.0,3.0
squeeshi,0.0,1.0,1.0
squeez,28.0,32.0,60.0
squeshi,0.0,1.0,1.0
squib,0.0,1.0,1.0
squid,2.0,0.0,2.0
squidward,0.0,2.0,2.0
squiffi,0.0,1.0,1.0
squiggl,0.0,1.0,1.0
squint,3.0,0.0,3.0
squir,0.0,1.0,1.0
squirm,4.0,5.0,9.0
squirmi,0.0,2.0,2.0
squirr,1.0,0.0,1.0
squirrel,1.0,4.0,5.0
squirrelpaw,0.0,1.0,1.0
squirt,6.0,1.0,7.0
squish,6.0,5.0,11.0
squishi,0.0,1.0,1.0
squre,0.0,1.0,1.0
sr,2.0,2.0,4.0
sraight,0.0,1.0,1.0
sram,0.0,1.0,1.0
srappin,0.0,1.0,1.0
srdu,0.0,1.0,1.0
sreech,1.0,0.0,1.0
srenad,0.0,1.0,1.0
sriram,1.0,0.0,1.0
sromp,1.0,0.0,1.0
srongest,0.0,1.0,1.0
srt,0.0,1.0,1.0
srtike,1.0,0.0,1.0
srussia,0.0,1.0,1.0
ss,4.0,4.0,8.0
ssb,0.0,1.0,1.0
ssce,0.0,1.0,1.0
sscrutin,1.0,0.0,1.0
ssd,0.0,2.0,2.0
ssh,1.0,1.0,2.0
sshine,0.0,1.0,1.0
ssick,0.0,1.0,1.0
ssn,1.0,0.0,1.0
sso,1.0,0.0,1.0
ssooooooooooooo,0.0,1.0,1.0
ssr,0.0,1.0,1.0
ssss,0.0,1.0,1.0
ssssooooooo,0.0,1.0,1.0
ssssuuuuccckkksss,1.0,0.0,1.0
sstill,1.0,0.0,1.0
sstk,1.0,0.0,1.0
ssx,1.0,0.0,1.0
st,95.0,88.0,183.0
stab,16.0,14.0,30.0
stabbind,0.0,1.0,1.0
stabeno,0.0,1.0,1.0
stabenow,2.0,3.0,5.0
stabil,3.0,6.0,9.0
