,negative,positive,total
scrip,1.0,0.0,1.0
script,312.0,199.0,511.0
scripter,0.0,1.0,1.0
scriptur,1.0,5.0,6.0
scriptwis,1.0,0.0,1.0
scriptwrit,15.0,7.0,22.0
scroll,12.0,12.0,24.0
scroog,8.0,22.0,30.0
scrotal,0.0,1.0,1.0
scroung,2.0,4.0,6.0
scroungi,1.0,0.0,1.0
scrub,22.0,6.0,28.0
scruffi,3.0,8.0,11.0
scrum,2.0,0.0,2.0
scrumptiolici,0.0,1.0,1.0
scrumptious,3.0,1.0,4.0
scrunch,5.0,1.0,6.0
scruplesless,1.0,0.0,1.0
scrupul,3.0,8.0,11.0
scrutin,4.0,8.0,12.0
scrutini,6.0,1.0,7.0
scrutinis,0.0,2.0,2.0
scryeeee,0.0,1.0,1.0
sctv,4.0,4.0,8.0
scuba,4.0,3.0,7.0
scud,0.0,1.0,1.0
scuddamor,2.0,0.0,2.0
scuf,0.0,2.0,2.0
scuffi,0.0,1.0,1.0
scuffl,3.0,3.0,6.0
scull,1.0,0.0,1.0
sculleri,1.0,0.0,1.0
sculli,13.0,31.0,44.0
sculpt,6.0,3.0,9.0
sculptur,4.0,3.0,7.0
scum,8.0,6.0,14.0
scumbag,2.0,2.0,4.0
scumm,0.0,1.0,1.0
scummi,3.0,3.0,6.0
scummiest,1.0,0.0,1.0
scupper,6.0,1.0,7.0
scurri,7.0,8.0,15.0
scurril,4.0,0.0,4.0
scurvi,0.0,2.0,2.0
scut,1.0,0.0,1.0
scuttl,6.0,9.0,15.0
scuzzi,6.0,4.0,10.0
scuzziest,1.0,0.0,1.0
scuzzlebut,1.0,0.0,1.0
scyth,2.0,0.0,2.0
sd,1.0,1.0,2.0
sdiner,3.0,0.0,3.0
se,11.0,16.0,27.0
sea,27.0,28.0,55.0
seachang,0.0,1.0,1.0
seachd,0.0,3.0,3.0
sead,1.0,0.0,1.0
seaduck,0.0,1.0,1.0
seafar,1.0,3.0,4.0
seafood,1.0,1.0,2.0
seafront,1.0,0.0,1.0
seagal,258.0,20.0,278.0
seago,0.0,1.0,1.0
seagual,1.0,0.0,1.0
seagul,0.0,1.0,1.0
seahors,0.0,2.0,2.0
seal,46.0,51.0,97.0
seam,12.0,2.0,14.0
seaman,0.0,3.0,3.0
seamanship,0.0,1.0,1.0
seami,2.0,7.0,9.0
seamier,1.0,1.0,2.0
seamless,9.0,76.0,85.0
seamstress,0.0,1.0,1.0
seamus,0.0,1.0,1.0
sean,210.0,273.0,483.0
seanc,1.0,0.0,1.0
seann,3.0,3.0,6.0
seaport,0.0,1.0,1.0
seaquarium,1.0,0.0,1.0
seaquest,0.0,1.0,1.0
sear,10.0,22.0,32.0
search,225.0,310.0,535.0
searchin,1.0,0.0,1.0
searchlight,0.0,2.0,2.0
searl,0.0,1.0,1.0
seasam,1.0,0.0,1.0
seascap,1.0,0.0,1.0
seasick,4.0,3.0,7.0
seasid,9.0,6.0,15.0
season,50.0,72.0,122.0
seat,29.0,39.0,68.0
seatbelt,1.0,0.0,1.0
seater,1.0,1.0,2.0
seatmat,0.0,1.0,1.0
seaton,2.0,0.0,2.0
seattl,19.0,17.0,36.0
seaver,1.0,2.0,3.0
seaward,1.0,0.0,1.0
seaworthi,0.0,1.0,1.0
sebald,0.0,1.0,1.0
sebastain,2.0,0.0,2.0
sebasti,0.0,1.0,1.0
sebastiaan,1.0,0.0,1.0
sebastian,58.0,28.0,86.0
sebastien,4.0,2.0,6.0
seberg,8.0,2.0,10.0
sebeva,0.0,1.0,1.0
seboipep,0.0,1.0,1.0
sec,6.0,4.0,10.0
secdon,1.0,0.0,1.0
seced,2.0,1.0,3.0
secert,0.0,1.0,1.0
seclud,37.0,22.0,59.0
secomb,0.0,1.0,1.0
secon,1.0,0.0,1.0
second,1895.0,1962.0,3857.0
secondari,85.0,84.0,169.0
secondarili,0.0,1.0,1.0
secondtim,1.0,0.0,1.0
secondus,0.0,1.0,1.0
secor,4.0,2.0,6.0
secord,0.0,2.0,2.0
secreci,4.0,3.0,7.0
secrect,0.0,1.0,1.0
secret,519.0,587.0,1106.0
secretari,0.0,3.0,3.0
secreto,1.0,0.0,1.0
secstat,0.0,1.0,1.0
sect,2.0,4.0,6.0
sectarian,1.0,0.0,1.0
section,2.0,1.0,3.0
secular,17.0,8.0,25.0
secur,48.0,54.0,102.0
sed,3.0,0.0,3.0
sedahl,0.0,2.0,2.0
sedaka,0.0,1.0,1.0
sedan,1.0,0.0,1.0
sedari,1.0,1.0,2.0
sedat,21.0,13.0,34.0
sedentari,2.0,0.0,2.0
sedgwick,1.0,3.0,4.0
sediment,1.0,0.0,1.0
sedimentari,0.0,1.0,1.0
sediti,1.0,1.0,2.0
sedona,1.0,0.0,1.0
seduc,120.0,108.0,228.0
seduct,50.0,65.0,115.0
seductress,1.0,2.0,3.0
see,12857.0,14793.0,27650.0
seeber,0.0,1.0,1.0
seed,2.0,3.0,5.0
seedi,13.0,30.0,43.0
seedier,4.0,5.0,9.0
seediest,0.0,2.0,2.0
seedili,1.0,0.0,1.0
seedpeopl,1.0,0.0,1.0
seeet,1.0,0.0,1.0
seein,1.0,0.0,1.0
seeitman,0.0,1.0,1.0
seek,325.0,477.0,802.0
seeker,0.0,1.0,1.0
seekin,0.0,1.0,1.0
seekwet,0.0,2.0,2.0
seeley,1.0,0.0,1.0
seeli,1.0,0.0,1.0
seem,8317.0,6467.0,14784.0
seema,2.0,1.0,3.0
seemless,0.0,1.0,1.0
seen,6643.0,6771.0,13414.0
seep,7.0,7.0,14.0
seer,1.0,0.0,1.0
seesaw,0.0,1.0,1.0
seeth,9.0,22.0,31.0
sefa,1.0,0.0,1.0
seftel,0.0,1.0,1.0
sega,5.0,2.0,7.0
segal,63.0,8.0,71.0
segment,6.0,2.0,8.0
segreg,11.0,10.0,21.0
segregationist,1.0,0.0,1.0
segu,4.0,11.0,15.0
segundo,1.0,0.0,1.0
segura,0.0,1.0,1.0
segway,0.0,1.0,1.0
sehgal,1.0,0.0,1.0
sei,1.0,0.0,1.0
seibert,1.0,0.0,1.0
seidelman,2.0,0.0,2.0
seidl,1.0,5.0,6.0
seifeld,0.0,1.0,1.0
seigel,0.0,1.0,1.0
seijun,2.0,2.0,4.0
seiko,1.0,1.0,2.0
seiler,0.0,1.0,1.0
sein,0.0,1.0,1.0
seinfeld,16.0,15.0,31.0
seismic,5.0,1.0,6.0
seitzman,1.0,0.0,1.0
seiz,20.0,33.0,53.0
seizur,4.0,0.0,4.0
sekacz,0.0,1.0,1.0
seke,1.0,0.0,1.0
sekhar,0.0,1.0,1.0
seki,0.0,2.0,2.0
sela,3.0,1.0,4.0
seland,2.0,2.0,4.0
selbi,0.0,1.0,1.0
selden,0.0,1.0,1.0
seldom,44.0,79.0,123.0
select,110.0,121.0,231.0
selena,5.0,2.0,7.0
selenium,3.0,0.0,3.0
seleznyova,0.0,1.0,1.0
self,315.0,331.0,646.0
selfappreci,1.0,0.0,1.0
selfindulg,1.0,0.0,1.0
selfish,99.0,116.0,215.0
selfless,2.0,14.0,16.0
selftitl,0.0,1.0,1.0
selick,1.0,0.0,1.0
selim,0.0,1.0,1.0
selina,0.0,5.0,5.0
sell,378.0,410.0,788.0
sellabl,1.0,0.0,1.0
sellar,0.0,1.0,1.0
selleck,7.0,6.0,13.0
seller,1.0,1.0,2.0
sellon,0.0,2.0,2.0
sellout,1.0,1.0,2.0
selma,15.0,11.0,26.0
selton,1.0,0.0,1.0
seltzberg,1.0,0.0,1.0
seltzer,2.0,0.0,2.0
selv,3.0,2.0,5.0
selwyn,1.0,0.0,1.0
selznick,5.0,3.0,8.0
semana,1.0,0.0,1.0
semant,4.0,1.0,5.0
semat,0.0,1.0,1.0
sematari,3.0,23.0,26.0
semen,1.0,0.0,1.0
semet,0.0,3.0,3.0
semetari,0.0,2.0,2.0
semi,169.0,78.0,247.0
semin,16.0,27.0,43.0
seminara,1.0,0.0,1.0
seminari,1.0,3.0,4.0
seminarian,1.0,0.0,1.0
semisubmerg,1.0,0.0,1.0
semit,8.0,35.0,43.0
semper,1.0,2.0,3.0
sempl,0.0,2.0,2.0
sempr,1.0,0.0,1.0
semra,1.0,2.0,3.0
sen,7.0,30.0,37.0
senagles,1.0,0.0,1.0
senat,9.0,6.0,15.0
senatori,2.0,1.0,3.0
send,414.0,405.0,819.0
senden,0.0,1.0,1.0
sender,3.0,1.0,4.0
senegales,2.0,0.0,2.0
senelick,0.0,1.0,1.0
senial,1.0,0.0,1.0
senil,18.0,15.0,33.0
senior,47.0,68.0,115.0
seniorita,0.0,1.0,1.0
senn,0.0,1.0,1.0
sennett,0.0,3.0,3.0
senor,1.0,2.0,3.0
senorita,1.0,2.0,3.0
sens,79.0,99.0,178.0
sensat,29.0,66.0,95.0
sensate,3.0,10.0,13.0
sensation,6.0,9.0,15.0
sensationalis,2.0,5.0,7.0
sensationalist,7.0,11.0,18.0
sensei,1.0,0.0,1.0
senseless,66.0,26.0,92.0
sensetis,1.0,0.0,1.0
sensharma,0.0,1.0,1.0
senshi,1.0,0.0,1.0
sensibl,70.0,56.0,126.0
sensic,12.0,3.0,15.0
sensit,96.0,298.0,394.0
sensitis,0.0,1.0,1.0
sensless,1.0,0.0,1.0
senso,0.0,1.0,1.0
sensori,3.0,16.0,19.0
sensous,1.0,0.0,1.0
sensual,23.0,75.0,98.0
sensualist,0.0,1.0,1.0
sensuous,5.0,17.0,22.0
sent,300.0,448.0,748.0
senta,1.0,1.0,2.0
sentai,2.0,0.0,2.0
sentament,0.0,1.0,1.0
sentenc,31.0,53.0,84.0
sententi,2.0,0.0,2.0
sentient,1.0,2.0,3.0
sentiment,85.0,168.0,253.0
sentimentalis,0.0,3.0,3.0
sentimentalist,1.0,1.0,2.0
sentinel,0.0,3.0,3.0
seo,1.0,0.0,1.0
seon,0.0,2.0,2.0
seong,0.0,4.0,4.0
seoul,0.0,3.0,3.0
separ,228.0,323.0,551.0
separatist,0.0,1.0,1.0
seper,0.0,6.0,6.0
sephiroth,0.0,1.0,1.0
sepia,7.0,5.0,12.0
seppuka,1.0,0.0,1.0
seppuku,2.0,1.0,3.0
sept,3.0,6.0,9.0
septemb,9.0,20.0,29.0
septic,6.0,0.0,6.0
septimus,1.0,1.0,2.0
septuagenarian,1.0,1.0,2.0
septuplet,0.0,1.0,1.0
sequal,8.0,3.0,11.0
sequel,153.0,106.0,259.0
sequela,1.0,0.0,1.0
sequenc,71.0,59.0,130.0
sequenti,8.0,7.0,15.0
sequest,1.0,3.0,4.0
sequin,2.0,1.0,3.0
sequit,0.0,1.0,1.0
sequitur,2.0,0.0,2.0
sequoia,1.0,0.0,1.0
serafian,0.0,1.0,1.0
serafin,1.0,1.0,2.0
seraph,0.0,1.0,1.0
serb,11.0,1.0,12.0
serbedzija,3.0,0.0,3.0
serbia,5.0,1.0,6.0
serbian,35.0,16.0,51.0
serbo,2.0,0.0,2.0
seren,5.0,24.0,29.0
serena,2.0,2.0,4.0
serenad,1.0,1.0,2.0
serendipit,5.0,9.0,14.0
serf,0.0,1.0,1.0
serg,1.0,0.0,1.0
sergeant,25.0,47.0,72.0
sergei,3.0,15.0,18.0
sergey,1.0,0.0,1.0
sergia,0.0,1.0,1.0
sergio,13.0,24.0,37.0
sergiocastellittoaparticular,1.0,0.0,1.0
sergius,2.0,0.0,2.0
sergui,0.0,2.0,2.0
serial,328.0,304.0,632.0
serialis,0.0,1.0,1.0
serio,2.0,1.0,3.0
seriocom,1.0,2.0,3.0
serious,2365.0,1694.0,4059.0
seriouslli,1.0,0.0,1.0
seriousuli,1.0,0.0,1.0
seriuosli,1.0,0.0,1.0
serki,1.0,0.0,1.0
serl,12.0,13.0,25.0
serlingesqu,0.0,1.0,1.0
sermon,6.0,5.0,11.0
serpent,1.0,3.0,4.0
serpentin,5.0,4.0,9.0
serpico,1.0,2.0,3.0
serra,2.0,0.0,2.0
serrano,2.0,1.0,3.0
serrat,0.0,2.0,2.0
serrault,1.0,1.0,2.0
serren,0.0,1.0,1.0
serrious,1.0,0.0,1.0
serum,6.0,0.0,6.0
serv,563.0,560.0,1123.0
servai,0.0,1.0,1.0
servant,27.0,42.0,69.0
server,2.0,1.0,3.0
servic,37.0,26.0,63.0
serviceman,1.0,2.0,3.0
servicemen,1.0,1.0,2.0
servillo,0.0,2.0,2.0
servo,4.0,0.0,4.0
seryozha,0.0,2.0,2.0
sesam,32.0,16.0,48.0
sesech,0.0,1.0,1.0
sesem,2.0,0.0,2.0
seslar,0.0,1.0,1.0
set,2183.0,2547.0,4730.0
seta,1.0,0.0,1.0
setback,0.0,1.0,1.0
sete,0.0,1.0,1.0
seteven,1.0,0.0,1.0
seth,9.0,22.0,31.0
seti,1.0,0.0,1.0
setsuka,0.0,1.0,1.0
settl,146.0,179.0,325.0
settlefor,0.0,1.0,1.0
settlel,1.0,0.0,1.0
setton,0.0,1.0,1.0
setup,14.0,11.0,25.0
seul,0.0,1.0,1.0
seung,1.0,10.0,11.0
seuss,15.0,5.0,20.0
seussian,2.0,0.0,2.0
seussic,0.0,1.0,1.0
sevala,1.0,0.0,1.0
seventeen,15.0,15.0,30.0
seventeenth,1.0,4.0,5.0
seventh,28.0,38.0,66.0
seventi,9.0,13.0,22.0
sever,1578.0,1726.0,3304.0
severn,0.0,2.0,2.0
seveti,1.0,0.0,1.0
sevier,5.0,1.0,6.0
sevigni,1.0,0.0,1.0
sevill,1.0,5.0,6.0
sew,11.0,11.0,22.0
sewel,0.0,3.0,3.0
sewer,11.0,4.0,15.0
sewn,12.0,6.0,18.0
sex,79.0,46.0,125.0
sexahol,0.0,1.0,1.0
sexegenarian,0.0,2.0,2.0
sexi,331.0,352.0,683.0
sexier,7.0,13.0,20.0
sexiest,7.0,27.0,34.0
sexili,4.0,4.0,8.0
sexist,31.0,17.0,48.0
sexless,4.0,1.0,5.0
sexo,2.0,1.0,3.0
sexploit,2.0,1.0,3.0
sexpot,1.0,1.0,2.0
sexual,791.0,823.0,1614.0
sexuali,1.0,0.0,1.0
sexualis,2.0,0.0,2.0
sexxxi,0.0,1.0,1.0
seydou,0.0,1.0,1.0
seyfri,9.0,0.0,9.0
seymour,23.0,54.0,77.0
sez,0.0,1.0,1.0
sezen,0.0,6.0,6.0
sezuan,0.0,1.0,1.0
sf,22.0,21.0,43.0
sforza,0.0,1.0,1.0
sfx,9.0,6.0,15.0
sg,3.0,8.0,11.0
sgcc,0.0,1.0,1.0
sgt,15.0,35.0,50.0
sh,39.0,12.0,51.0
shaaadaaaap,0.0,1.0,1.0
shabana,5.0,10.0,15.0
shabbi,17.0,10.0,27.0
shabbili,7.0,2.0,9.0
shabbir,2.0,0.0,2.0
shabhna,0.0,1.0,1.0
shabnam,0.0,1.0,1.0
shach,0.0,1.0,1.0
shack,10.0,3.0,13.0
shackl,6.0,2.0,8.0
shad,0.0,1.0,1.0
shade,21.0,21.0,42.0
shadi,28.0,40.0,68.0
shadier,0.0,2.0,2.0
shadix,0.0,1.0,1.0
shadow,46.0,87.0,133.0
shadowchas,2.0,0.0,2.0
shadowi,13.0,18.0,31.0
shadowless,0.0,1.0,1.0
shadyac,3.0,1.0,4.0
shae,1.0,0.0,1.0
shaffer,1.0,1.0,2.0
shafi,0.0,4.0,4.0
shaft,5.0,6.0,11.0
shag,19.0,11.0,30.0
shaggi,28.0,14.0,42.0
shaggier,1.0,0.0,1.0
shah,6.0,19.0,25.0
shaheen,0.0,1.0,1.0
shahi,0.0,1.0,1.0
shahid,4.0,14.0,18.0
shahrukh,5.0,14.0,19.0
shaian,1.0,0.0,1.0
shaka,1.0,0.0,1.0
shakalaka,2.0,0.0,2.0
shake,203.0,154.0,357.0
shakedown,0.0,2.0,2.0
shaken,14.0,28.0,42.0
shakespear,47.0,89.0,136.0
shakespearean,30.0,38.0,68.0
shakespearen,0.0,1.0,1.0
shakespearian,15.0,18.0,33.0
shakesper,3.0,0.0,3.0
shakesperean,0.0,2.0,2.0
shakespher,0.0,2.0,2.0
shakespherian,0.0,1.0,1.0
shakesspear,0.0,1.0,1.0
shakey,0.0,2.0,2.0
shaki,84.0,43.0,127.0
shakiest,1.0,1.0,2.0
shakili,3.0,1.0,4.0
shaklaka,1.0,0.0,1.0
shakspear,1.0,0.0,1.0
shaksperian,1.0,0.0,1.0
shakti,4.0,19.0,23.0
shakuhachi,0.0,1.0,1.0
shalhoub,1.0,0.0,1.0
shalini,0.0,1.0,1.0
shalit,0.0,1.0,1.0
shalli,0.0,1.0,1.0
shallow,329.0,104.0,433.0
shallowest,1.0,1.0,2.0
shallowli,4.0,1.0,5.0
shalom,2.0,2.0,4.0
shaloub,0.0,1.0,1.0
shalt,0.0,3.0,3.0
shalu,0.0,2.0,2.0
shalub,0.0,1.0,1.0
sham,11.0,3.0,14.0
shaman,3.0,4.0,7.0
shambl,22.0,9.0,31.0
shambol,9.0,1.0,10.0
shame,448.0,333.0,781.0
shamefac,1.0,1.0,2.0
shameless,109.0,27.0,136.0
shamit,0.0,1.0,1.0
shampoo,4.0,1.0,5.0
shamrock,3.0,0.0,3.0
shamroy,0.0,1.0,1.0
shamus,1.0,0.0,1.0
shan,4.0,0.0,4.0
shanao,0.0,1.0,1.0
shandi,1.0,0.0,1.0
shandl,1.0,0.0,1.0
shane,5.0,8.0,13.0
shangai,0.0,2.0,2.0
shanghai,11.0,24.0,35.0
shanghaines,1.0,1.0,2.0
shangri,0.0,6.0,6.0
shani,1.0,2.0,3.0
shank,2.0,2.0,4.0
shankar,6.0,0.0,6.0
shanksvill,1.0,0.0,1.0
shanley,3.0,0.0,3.0
shannen,1.0,0.0,1.0
shannon,27.0,10.0,37.0
shannyn,2.0,0.0,2.0
shanti,5.0,6.0,11.0
shantytown,1.0,5.0,6.0
shao,1.0,1.0,2.0
shaolin,7.0,18.0,25.0
shape,81.0,123.0,204.0
shapeless,5.0,1.0,6.0
shapeshift,2.0,2.0,4.0
shapiro,3.0,6.0,9.0
shaq,11.0,0.0,11.0
shaquill,2.0,1.0,3.0
shar,1.0,0.0,1.0
sharad,1.0,0.0,1.0
sharat,2.0,0.0,2.0
shard,1.0,0.0,1.0
share,81.0,186.0,267.0
sharecrop,0.0,2.0,2.0
sharecropp,0.0,2.0,2.0
sharen,0.0,1.0,1.0
sharif,3.0,2.0,5.0
sharifah,0.0,4.0,4.0
sharifi,1.0,0.0,1.0
sharikov,0.0,1.0,1.0
shark,26.0,25.0,51.0
sharkey,0.0,7.0,7.0
sharki,2.0,33.0,35.0
sharkish,1.0,0.0,1.0
sharma,0.0,10.0,10.0
sharman,3.0,2.0,5.0
sharon,14.0,14.0,28.0
sharp,134.0,327.0,461.0
sharpen,11.0,5.0,16.0
sharper,6.0,15.0,21.0
sharpest,6.0,4.0,10.0
sharpish,1.0,1.0,2.0
sharpli,10.0,33.0,43.0
sharpshoot,0.0,2.0,2.0
sharron,0.0,1.0,1.0
shart,0.0,1.0,1.0
sharyn,0.0,1.0,1.0
shashi,2.0,1.0,3.0
shashonna,0.0,2.0,2.0
shasta,0.0,1.0,1.0
shat,3.0,0.0,3.0
shatfac,1.0,0.0,1.0
shatner,14.0,4.0,18.0
shatter,57.0,85.0,142.0
shaudenfraud,1.0,0.0,1.0
shaul,1.0,0.0,1.0
shaun,4.0,16.0,20.0
shauna,0.0,1.0,1.0
shaunessi,0.0,1.0,1.0
shave,64.0,33.0,97.0
shaven,15.0,2.0,17.0
shaver,1.0,0.0,1.0
shavian,0.0,1.0,1.0
shaw,15.0,29.0,44.0
shawl,2.0,1.0,3.0
shawn,3.0,6.0,9.0
shawniqua,1.0,0.0,1.0
shawshank,11.0,18.0,29.0
shax,0.0,6.0,6.0
shay,1.0,0.0,1.0
shayan,0.0,5.0,5.0
shayesteh,0.0,1.0,1.0
shayn,0.0,3.0,3.0
shazam,1.0,2.0,3.0
shazambago,0.0,1.0,1.0
shazza,1.0,1.0,2.0
shea,6.0,9.0,15.0
shead,0.0,1.0,1.0
sheakespearian,0.0,1.0,1.0
sheanim,0.0,1.0,1.0
shear,5.0,13.0,18.0
shearer,8.0,9.0,17.0
sheath,2.0,0.0,2.0
sheb,0.0,1.0,1.0
sheba,5.0,17.0,22.0
shebang,0.0,1.0,1.0
sheboygen,0.0,1.0,1.0
shecki,5.0,0.0,5.0
shed,77.0,102.0,179.0
sheeba,0.0,1.0,1.0
sheedi,11.0,7.0,18.0
sheehan,2.0,0.0,2.0
sheen,44.0,47.0,91.0
sheena,4.0,0.0,4.0
sheep,25.0,16.0,41.0
sheepish,2.0,2.0,4.0
sheepskin,0.0,1.0,1.0
sheer,35.0,43.0,78.0
sheesh,16.0,5.0,21.0
sheet,6.0,3.0,9.0
sheeta,0.0,10.0,10.0
sheez,2.0,0.0,2.0
shefali,1.0,8.0,9.0
sheffer,1.0,2.0,3.0
sheffield,3.0,0.0,3.0
shehan,1.0,0.0,1.0
sheik,3.0,1.0,4.0
sheikh,1.0,0.0,1.0
sheila,15.0,15.0,30.0
sheilah,2.0,0.0,2.0
shekhar,1.0,10.0,11.0
shelbi,4.0,3.0,7.0
sheldon,2.0,6.0,8.0
shelf,4.0,0.0,4.0
shell,22.0,6.0,28.0
shellack,1.0,0.0,1.0
shelleen,0.0,1.0,1.0
shellen,1.0,0.0,1.0
shelley,8.0,25.0,33.0
shellfish,1.0,0.0,1.0
shelli,15.0,18.0,33.0
shellshock,1.0,1.0,2.0
shelter,18.0,25.0,43.0
shelv,21.0,9.0,30.0
sheman,0.0,1.0,1.0
shemat,1.0,0.0,1.0
shemekia,1.0,0.0,1.0
shemi,0.0,1.0,1.0
shemp,12.0,27.0,39.0
shen,6.0,0.0,6.0
shenandoah,1.0,0.0,1.0
shenanigan,1.0,1.0,2.0
shene,0.0,4.0,4.0
shenk,1.0,0.0,1.0
shenmu,0.0,1.0,1.0
shenzi,2.0,0.0,2.0
shep,4.0,4.0,8.0
shepard,15.0,9.0,24.0
sheperd,1.0,1.0,2.0
shephard,0.0,2.0,2.0
shepher,0.0,1.0,1.0
shepherd,19.0,16.0,35.0
shepherdess,0.0,1.0,1.0
shepitko,0.0,12.0,12.0
shepley,1.0,0.0,1.0
sheppard,2.0,5.0,7.0
shepperd,0.0,1.0,1.0
sherawat,2.0,0.0,2.0
sherbert,0.0,1.0,1.0
sherd,1.0,0.0,1.0
shere,3.0,2.0,5.0
sheri,2.0,1.0,3.0
sheridan,3.0,9.0,12.0
sherif,1.0,0.0,1.0
sheriff,44.0,30.0,74.0
sherilyn,2.0,1.0,3.0
sheritt,0.0,1.0,1.0
sherlock,1.0,5.0,6.0
sherlockian,1.0,0.0,1.0
sherlyn,1.0,0.0,1.0
sherman,11.0,7.0,18.0
shernaz,0.0,1.0,1.0
sherpa,3.0,0.0,3.0
sherri,6.0,14.0,20.0
sherrif,1.0,0.0,1.0
sherriff,1.0,0.0,1.0
sherwin,1.0,0.0,1.0
sherwood,1.0,0.0,1.0
sheryl,6.0,5.0,11.0
shes,4.0,9.0,13.0
shetan,2.0,0.0,2.0
shetti,2.0,5.0,7.0
shevelov,1.0,0.0,1.0
sheybal,1.0,1.0,2.0
shi,68.0,157.0,225.0
shia,2.0,22.0,24.0
shian,1.0,0.0,1.0
shiban,4.0,0.0,4.0
shibuya,0.0,1.0,1.0
shichinin,0.0,1.0,1.0
shick,2.0,0.0,2.0
shiek,0.0,1.0,1.0
shielah,1.0,0.0,1.0
shield,13.0,15.0,28.0
shier,1.0,0.0,1.0
shift,68.0,72.0,140.0
shifti,8.0,7.0,15.0
shiftless,0.0,1.0,1.0
shigeru,0.0,2.0,2.0
shigeta,0.0,1.0,1.0
shih,0.0,2.0,2.0
shiina,1.0,0.0,1.0
shiko,0.0,1.0,1.0
shikoku,1.0,0.0,1.0
shill,4.0,2.0,6.0
shilli,0.0,1.0,1.0
shilling,1.0,0.0,1.0
shilton,0.0,1.0,1.0
shim,3.0,1.0,4.0
shimit,0.0,3.0,3.0
shimizu,4.0,2.0,6.0
shimkus,1.0,0.0,1.0
shimmer,7.0,8.0,15.0
shimmi,2.0,1.0,3.0
shimono,0.0,1.0,1.0
shin,12.0,39.0,51.0
shina,0.0,2.0,2.0
shine,165.0,276.0,441.0
shiner,2.0,0.0,2.0
shing,1.0,0.0,1.0
shingo,1.0,0.0,1.0
shini,38.0,23.0,61.0
shinichiro,0.0,1.0,1.0
shinier,1.0,0.0,1.0
shiniest,0.0,1.0,1.0
shinji,3.0,2.0,5.0
shinjuku,0.0,3.0,3.0
shinobi,2.0,1.0,3.0
shinobu,0.0,1.0,1.0
shintaro,0.0,9.0,9.0
shinto,0.0,1.0,1.0
shinya,0.0,2.0,2.0
ship,63.0,54.0,117.0
shipboard,1.0,1.0,2.0
shipbuild,0.0,2.0,2.0
shipley,0.0,1.0,1.0
shipman,3.0,0.0,3.0
shipmat,1.0,0.0,1.0
shipment,1.0,1.0,2.0
shipp,1.0,0.0,1.0
shipwreck,11.0,10.0,21.0
shipyard,1.0,0.0,1.0
shir,1.0,0.0,1.0
shiraki,2.0,0.0,2.0
shirdi,1.0,0.0,1.0
shire,0.0,2.0,2.0
shiri,1.0,2.0,3.0
shirk,2.0,1.0,3.0
shirl,0.0,2.0,2.0
shirley,42.0,26.0,68.0
shirn,1.0,0.0,1.0
shiro,0.0,2.0,2.0
shirow,0.0,2.0,2.0
shirt,18.0,9.0,27.0
shirtless,9.0,3.0,12.0
shish,1.0,0.0,1.0
shit,6.0,2.0,8.0
shite,5.0,1.0,6.0
shitfac,1.0,0.0,1.0
shitti,19.0,3.0,22.0
shittiest,1.0,0.0,1.0
shittttttttttttttti,1.0,0.0,1.0
shiva,1.0,3.0,4.0
shivah,0.0,1.0,1.0
shivaji,1.0,0.0,1.0
shivam,0.0,1.0,1.0
shiven,1.0,0.0,1.0
shiver,8.0,17.0,25.0
shiveri,0.0,1.0,1.0
shizophren,0.0,1.0,1.0
shlock,2.0,1.0,3.0
shlocki,3.0,1.0,4.0
shlomi,0.0,5.0,5.0
shlub,1.0,0.0,1.0
shmear,0.0,1.0,1.0
shmuck,1.0,0.0,1.0
shmushi,1.0,0.0,1.0
sho,19.0,20.0,39.0
shoah,1.0,0.0,1.0
shobha,1.0,0.0,1.0
shock,709.0,630.0,1339.0
shockabl,1.0,0.0,1.0
shocker,4.0,5.0,9.0
shocki,1.0,0.0,1.0
shockingest,0.0,1.0,1.0
shockmovi,1.0,0.0,1.0
shockumenari,0.0,1.0,1.0
shod,1.0,0.0,1.0
shoddi,112.0,16.0,128.0
shoddier,1.0,0.0,1.0
shoddiest,2.0,1.0,3.0
shoddili,14.0,0.0,14.0
shodown,0.0,1.0,1.0
shoe,20.0,19.0,39.0
shoebox,0.0,2.0,2.0
shoehorn,9.0,4.0,13.0
shoei,0.0,1.0,1.0
shoeless,1.0,0.0,1.0
shoepolish,1.0,0.0,1.0
shoeshin,6.0,1.0,7.0
shoestr,24.0,18.0,42.0
shogo,0.0,2.0,2.0
shogun,4.0,3.0,7.0
shohei,1.0,6.0,7.0
shojo,0.0,1.0,1.0
shola,0.0,1.0,1.0
sholay,6.0,2.0,8.0
sholin,1.0,0.0,1.0
shon,1.0,0.0,1.0
shonda,1.0,0.0,1.0
shone,9.0,9.0,18.0
shonki,3.0,0.0,3.0
shoo,3.0,3.0,6.0
shook,17.0,15.0,32.0
shoot,954.0,558.0,1512.0
shooter,4.0,1.0,5.0
shootin,0.0,1.0,1.0
shootout,8.0,8.0,16.0
shop,49.0,41.0,90.0
shopkeep,0.0,1.0,1.0
shoplift,8.0,4.0,12.0
shoppen,1.0,1.0,2.0
shopper,1.0,1.0,2.0
shoppingm,0.0,1.0,1.0
shopworn,3.0,2.0,5.0
shore,27.0,32.0,59.0
shorn,4.0,1.0,5.0
short,1867.0,2230.0,4097.0
shortag,1.0,0.0,1.0
